time (s),velocity (nm/s),event id
0,NaN,1
2.449,NaN,1
4.914,NaN,1
7.363,397.06,1
9.813,247.22,1
12.262,188.69,1
14.727,189.12,1
17.223,122.96,1
20.296,150.05,1
22.745,162.2,1
25.21,99.35,1
27.675,109.89,1
30.155,56.105,1
32.604,135.75,1
35.528,108.23,1
37.549,172.95,1
39.999,110.44,1
42.479,103.01,1
45.49,166.4,1
47.955,112.17,1
0,NaN,1
3.057,NaN,1
5.522,NaN,1
7.971,193.68,1
10.94,144.78,1
12.885,222.46,1
15.35,61.852,1
0,NaN,2
2.449,0.33731,2
6.799,96.149,2
8.424,456.93,2
11.249,198.45,2
13.354,235.49,2
15.803,114.64,2
18.252,167.25,2
20.702,120.84,2
23.151,172.26,2
NaN,NaN,2
25.647,137.98,2
32.261,153.72,2
34.71,110.83,2
37.175,150.29,2
39.64,114.03,2
42.089,154.07,2
44.538,121.74,2
0,NaN,2
2.495,NaN,2
4.899,234.16,2
7.379,282.43,2
9.844,125.81,2
12.309,131.01,2
15.304,135.82,2
17.785,142.29,2
20.234,65.883,2
22.714,90.417,2
25.163,86.788,2
27.644,62.745,2
30.093,74.443,2
33.415,57.389,2
34.991,145.49,2
37.441,78.507,2
40.42,85.496,2
42.916,119.42,2
45.381,138.35,2
47.83,157.67,2
0,NaN,3
2.418,NaN,3
4.867,117.71,3
7.301,116.1,3
9.765,128.13,3
12.23,98.116,3
14.679,126.66,3
17.144,96.789,3
20.077,148.74,3
0,NaN,3
2.449,NaN,3
4.914,NaN,3
7.941,263.38,3
10.421,291.86,3
12.886,274.56,3
15.351,219.2,3
17.831,186.66,3
20.312,342.22,3
22.761,195.3,3
25.194,236.34,3
27.675,306.8,3
30.707,122.74,3
33.967,NaN,3
0,NaN,4
3.223,NaN,4
4.898,NaN,4
7.8,133.72,4
10.249,177.48,4
12.682,128.48,4
15.178,189.82,4
17.628,127.25,4
20.077,92.749,4
22.526,203.1,4
0,NaN,4
2.465,115.56,4
4.914,244.21,4
7.379,235.34,4
9.828,309.26,4
12.278,359.69,4
14.727,185.64,4
0,NaN,5
2.496,NaN,5
5.008,175.61,5
7.535,391.52,5
10.483,313.37,5
13.011,153,5
15.491,90.318,5
18.018,160.52,5
20.514,160.97,5
23.026,44.979,5
25.538,74.662,5
28.065,149,5
30.592,57.648,5
33.104,202.99,5
36.036,150.5,5
38.564,36.325,5
41.075,100.6,5
43.587,73.883,5
46.083,135.13,5
48.626,218.7,5
51.122,76.363,5
53.664,102.04,5
56.223,110.82,5
0,NaN,6
2.449,NaN,6
4.898,132.98,6
7.534,123.01,6
9.796,212.76,6
12.792,112.05,6
15.256,113.89,6
17.737,183.93,6
0,NaN,6
3.011,91.567,6
5.569,277.18,6
8.191,201.4,6
10.67,170.39,6
13.571,108.83,6
15.694,223.28,6
18.961,136.41,6
20.764,170,6
23.26,68.302,6
25.802,90.769,6
0,NaN,7
2.449,NaN,7
5.133,32.187,7
7.363,172.16,7
10.359,133.14,7
12.777,128.27,7
15.257,124.56,7
17.706,175.11,7
20.155,142.74,7
22.605,83.255,7
25.054,93.886,7
27.503,138.27,7
30.663,127.24,7
32.401,138.24,7
0,NaN,7
2.434,NaN,7
4.899,NaN,7
7.286,218.06,7
9.75,230.45,7
13.281,130.8,7
15.632,147.1,7
18.081,170.1,7
20.483,104.96,7
22.917,139.85,7
0,NaN,7
2.511,135.33,7
5.038,171.62,7
7.55,180.7,7
11.123,121.64,7
13.65,109,7
16.161,72.873,7
18.704,93.372,7
21.231,114.59,7
0,NaN,8
2.642,NaN,8
5.101,NaN,8
8.342,171.53,8
10.14,173.29,8
12.683,153.76,8
15.725,138.47,8
0,NaN,9
2.433,NaN,9
4.882,153.17,9
7.332,84.352,9
9.781,179.75,9
12.246,132.52,9
14.859,95.201,9
17.969,119.88,9
20.124,109.49,9
22.573,249.86,9
0,NaN,9
2.465,NaN,9
4.914,NaN,9
7.379,96.593,9
9.828,116.61,9
12.277,75.872,9
14.711,110.03,9
17.69,102.28,9
0,NaN,9
2.434,NaN,9
4.852,NaN,9
7.286,NaN,9
0,NaN,9
2.45,NaN,9
4.899,98.635,9
7.348,130.13,9
9.828,157.8,9
12.293,91.679,9
14.758,109.02,9
17.66,90.549,9
0,NaN,10
2.449,NaN,10
4.898,78.44,10
7.316,276.74,10
9.765,156.95,10
12.215,145.5,10
15.195,88.585,10
17.16,129.08,10
0,NaN,10
2.481,NaN,10
4.93,155.27,10
7.878,70.671,10
10.296,73.815,10
12.754,123.05,10
15.21,134.33,10
17.691,148.13,10
20.14,94.086,10
22.589,155.23,10
25.023,94.429,10
0,NaN,11
2.449,NaN,11
5.444,68.959,11
7.909,102.79,11
10.327,123.14,11
12.776,132.99,11
